time,open,high,low,close,volume,ticker
2020-04-24,12770,12880,12390,12600,486170,TCH
2020-04-27,12730,13300,12730,13070,1380210,TCH
2020-04-28,13070,13300,12530,12820,799320,TCH
2020-04-29,13200,13320,12820,13200,1165090,TCH
2020-05-04,12950,13230,12660,13070,817150,TCH
2020-05-05,12510,13870,12510,13660,2055150,TCH
2020-05-06,13630,14000,13510,13790,1119940,TCH
2020-05-07,13820,13820,13570,13660,437810,TCH
2020-05-08,13660,13980,13510,13730,1399890,TCH
2020-05-11,14500,14500,13570,14500,1762180,TCH
2020-05-12,14570,14660,14190,14530,816530,TCH
2020-05-13,14320,14380,13690,14320,706410,TCH
2020-05-14,14070,14470,13820,14290,1463400,TCH
2020-05-15,14380,14630,14100,14320,2601150,TCH
2020-05-18,14070,14500,14000,14320,1742090,TCH
2020-05-19,14350,14570,14160,14160,2348930,TCH
2020-05-20,14000,14100,13870,13870,396480,TCH
2020-05-21,13910,14000,13730,13820,409030,TCH
2020-05-22,13870,14220,13440,14160,3062460,TCH
2020-05-25,14320,15000,14250,14500,2983070,TCH
2020-05-26,14570,14720,14100,14630,3532230,TCH
2020-05-27,14630,14660,13690,13690,1309960,TCH
2020-05-28,13870,13870,13070,13070,2232320,TCH
2020-05-29,12770,13260,12570,13200,1420330,TCH
2020-06-01,13260,13480,13200,13300,1314330,TCH
2020-06-02,13320,13630,13130,13510,1777710,TCH
2020-06-03,13540,13630,13300,13510,1225130,TCH
2020-06-04,13540,13910,13440,13760,1823700,TCH
2020-06-05,13820,13910,13660,13910,1188990,TCH
2020-06-08,14000,14530,14000,14380,3087950,TCH
2020-06-09,14320,14380,13870,14100,1873080,TCH
2020-06-10,13870,14690,13790,14470,4513940,TCH
2020-06-11,14530,14660,13480,13480,2076530,TCH
2020-06-12,12530,14070,12530,14070,4408330,TCH
2020-06-15,13690,14320,13100,13420,3419050,TCH
2020-06-16,13480,13660,13050,13440,1735680,TCH
2020-06-17,12880,13260,12880,13070,1409400,TCH
2020-06-18,12950,13320,12600,13100,1713490,TCH
2020-06-19,13130,13260,12950,13170,1640490,TCH
2020-06-22,13320,13420,13010,13350,887840,TCH
2020-06-23,13260,14220,13050,14000,8649860,TCH
2020-06-24,13730,14160,13660,13980,6323650,TCH
2020-06-25,13420,13820,13380,13820,2276640,TCH
2020-06-26,13510,13820,13010,13510,3146660,TCH
2020-06-29,13070,14250,12570,14250,5063080,TCH
2020-06-30,13510,13690,13260,13260,1546040,TCH
2020-07-01,12570,13260,12570,12770,1815810,TCH
2020-07-02,12850,13010,12770,12790,836510,TCH
2020-07-03,12820,13320,12820,13100,1162640,TCH
2020-07-06,13100,13200,12980,13100,1034150,TCH
2020-07-07,13170,13230,12920,13010,2005510,TCH
2020-07-08,13010,13010,12850,12920,1054820,TCH
2020-07-09,13100,13360,13020,13300,3503900,TCH
2020-07-10,13330,13610,13170,13560,3722560,TCH
2020-07-13,13650,14100,13650,13930,4143310,TCH
2020-07-14,13970,13970,13560,13650,1783480,TCH
